hiragana,katagana,romaji
あ,ア,a
い,イ,i
う,ウ,u
え,エ,e
お,オ,o
な,ナ,na
に,ニ,ni
ぬ,ヌ,nu
ね,ネ,ne
の,ノ,no
た,タ,ta
ち,チ,chi
つ,ツ,tsu
て,テ,te
と,ト,to
ま,マ,ma
み,ミ,mi
む,ム,mu
め,メ,me
も,モ,mo
は,ハ,ha
ひ,匕,hi
ふ,フ,fu
へ,へ,he
ほ,ホ,ho
か,カ,ka
き,キ,ki
く,ク,ku
け,ケ,ke
こ,コ,ko
ら,ラ,ra
り,リ,ri
る,ル,ru
れ,レ,re
ろ,ロ,ro
さ,サ,sa
し,シ,shi
す,ス,su
せ,セ,se
そ,ソ,so
や,ヤ,ya
ゆ,ユ,yu
よ,ヨ,yo
だ,ダ,da
ぢ,ジ,ji
づ,ヅ,dzu
で,デ,de
ど,ド,do
ば,バ,ba
び,ビ,bi
ぶ,ブ,bu
べ,ベ,be
ぼ,ボ,bo
ぱ,パ,pa
ぴ,ピ,pi
ぷ,プ,pu
ぺ,ペ,pe
ぽ,ポ,po
ざ,ザ,za
じ,ジ,ji
ず,ズ,zu
ぜ,ゼ,ze
ぞ,ゾ,zo
が,ガ,ga
ぎ,ギ,gi
ぐ,グ,gu
げ,ゲ,ge
ご,ゴ,go
わ,ワ,wa
を,ヲ,wo
ん,ン,n
きゃ,キャ,kya
きゅ,キュ,kyu
きょ,キョ,kyo
にゃ,ニャ,nya
にゅ,ニュ,nyu
にょ,ニョ,nyo
ひゃ,ヒャ,hya
ひゅ,ヒュ,hyu
ひょ,ヒョ,hyo
ちゃ,チャ,cha
ちゅ,チュ,chu
ちょ,チョ,cho
みゃ,ミャ,mya
みゅ,ミュ,myu
みょ,ミョ,myo
りゃ,リャ,rya
りゅ,リュ,ryu
りょ,リョ,ryo
しゃ,シャ,sha
しゅ,シュ,shu
しょ,ショ,sho
じゃ,ジャ,jya
じゅ,ジュ,jyu
じょ,ジョ,jyo
びゃ,ビャ,bya
びゅ,ビュ,byu
びょ,ビョ,byo
ぴゃ,ピャ,pya
ぴゅ,ピュ,pyu
ぴょ,ピョ,pyo
ぎゃ,ギャ,gya
ぎゅ,ギュ,gyu
ぎょ,ギョ,gyo
